date,user_id,task,part,group,block,geometry,version,condition,trail,feature_value,time,frozen,answer,user_two_id
2019-06-10 14:59:22.185109,4,points,3,A,0,terra,1,lense,0,True,2.2788314819335938,0,True,-1
2019-06-10 14:59:32.291483,4,points,3,A,0,terra,1,lense,1,False,2.8940601348876953,0,False,-1
2019-06-10 14:59:43.591675,4,points,3,A,0,terra,1,lense,2,False,2.930452346801758,0,False,-1
2019-06-10 14:59:51.264021,4,points,3,A,0,terra,1,lense,3,True,2.8079848289489746,0,True,-1
2019-06-10 15:00:03.528399,4,points,3,A,0,terra,1,lense,4,True,4.870274066925049,0,True,-1
2019-06-10 15:00:10.194695,4,points,3,A,0,terra,1,lense,5,True,2.370473861694336,0,True,-1
2019-06-10 15:00:18.824855,4,points,3,A,0,terra,1,lense,6,True,1.6249048709869385,0,True,-1
2019-06-10 15:00:27.458247,4,points,3,A,0,terra,1,lense,7,False,2.2335546016693115,0,False,-1
2019-06-10 15:00:36.313669,4,points,3,A,0,terra,1,lense,8,True,2.2232506275177,0,True,-1
2019-06-10 15:00:44.513644,4,points,3,A,0,terra,1,lense,9,True,1.5730156898498535,0,True,-1
2019-06-10 15:00:52.738712,4,points,3,A,0,terra,1,lense,10,False,2.001887321472168,0,False,-1
2019-06-10 15:00:59.775444,4,points,3,A,0,terra,1,lense,11,False,1.610182285308838,0,False,-1
2019-06-10 15:01:08.659071,4,points,3,A,0,terra,1,lense,12,False,1.888617753982544,0,False,-1
2019-06-10 15:01:13.427181,4,points,3,A,0,terra,1,lense,13,False,1.6032757759094238,0,False,-1
2019-06-10 15:01:22.554479,4,points,3,A,0,terra,1,lense,14,True,2.6321775913238525,0,True,-1
2019-06-10 15:01:30.992943,4,points,3,A,0,terra,1,lense,15,False,2.294978380203247,0,False,-1
2019-06-10 15:01:37.739899,4,points,3,A,0,terra,1,lense,16,False,1.5829248428344727,0,False,-1
2019-06-10 15:01:45.316333,4,points,3,A,0,terra,1,lense,17,False,1.5643115043640137,0,False,-1
2019-06-10 15:01:55.327830,4,points,3,A,0,terra,1,lense,18,False,1.6534528732299805,0,False,-1
2019-06-10 15:02:02.305658,4,points,3,A,0,terra,1,lense,19,True,1.7338712215423584,0,True,-1
2019-06-10 15:02:08.800522,4,points,3,A,0,terra,1,lense,20,True,1.5935885906219482,0,True,-1
2019-06-10 15:02:15.203480,4,points,3,A,0,terra,1,lense,21,False,1.5375964641571045,0,False,-1
2019-06-10 15:02:25.479706,4,points,3,A,0,terra,1,lense,22,True,2.270949602127075,0,True,-1
2019-06-10 15:02:31.016377,4,points,3,A,0,terra,1,lense,23,True,1.517854928970337,0,True,-1
2019-06-10 15:02:39.863541,4,points,3,A,0,terra,1,lense,24,False,1.999077320098877,0,False,-1
