date,user_id,task,part,group,block,geometry,version,condition,trail,feature_value,time,frozen,answer,user_two_id
2019-06-12 17:39:33.634427,1,demo,1,B,1,wappen,2,demo,0,True,0.5189762115478516,0,True,-1
2019-06-12 17:39:34.380795,1,demo,1,B,1,wappen,2,demo,1,False,0.1509711742401123,0,True,-1
2019-06-12 17:39:35.708090,1,demo,1,B,1,wappen,2,demo,2,False,0.16113853454589844,0,True,-1
2019-06-12 17:39:36.969328,1,demo,1,B,1,wappen,2,demo,3,False,0.15600013732910156,0,True,-1
2019-06-12 17:39:38.301386,1,demo,1,B,1,wappen,2,demo,4,True,0.1456127166748047,0,True,-1
2019-06-12 17:39:39.421143,1,demo,1,B,1,wappen,2,demo,5,True,0.150984525680542,0,True,-1
2019-06-12 17:39:40.602052,1,demo,1,B,1,wappen,2,demo,6,True,0.14092469215393066,0,True,-1
2019-06-12 17:39:41.601017,1,demo,1,B,1,wappen,2,demo,7,True,0.15105152130126953,0,True,-1
2019-06-12 17:39:43.044364,1,demo,1,B,1,wappen,2,demo,8,False,0.14603066444396973,0,True,-1
2019-06-12 17:39:44.674440,1,demo,1,B,1,wappen,2,demo,9,True,0.1610569953918457,0,True,-1
2019-06-12 17:39:54.922653,1,demo,1,B,1,wappen,2,demo,10,False,0.24186325073242188,0,True,-1
