date,user_id,task,part,group,block,geometry,version,condition,trail,feature_value,time,frozen,answer
2019-06-08 11:53:04.588376,1,points,6,B,0,terra,2,lense,0,True,2.235799551010132,0,True
2019-06-08 11:53:13.595970,1,points,6,B,0,terra,2,lense,1,False,2.173743963241577,0,False
2019-06-08 11:53:22.355252,1,points,6,B,0,terra,2,lense,2,True,1.1824228763580322,0,True
2019-06-08 11:53:31.050048,1,points,6,B,0,terra,2,lense,3,False,2.248425006866455,0,False
2019-06-08 11:53:40.153179,1,points,6,B,0,terra,2,lense,4,True,1.5044827461242676,0,True
2019-06-08 11:53:48.057644,1,points,6,B,0,terra,2,lense,5,True,2.537656784057617,0,True
2019-06-08 11:53:56.201662,1,points,6,B,0,terra,2,lense,6,False,1.337782382965088,0,False
2019-06-08 11:54:03.025783,1,points,6,B,0,terra,2,lense,7,False,1.191126823425293,0,False
2019-06-08 11:54:11.104670,1,points,6,B,0,terra,2,lense,8,True,1.6489036083221436,0,True
2019-06-08 11:54:19.972734,1,points,6,B,0,terra,2,lense,9,False,1.4730324745178223,0,False
2019-06-08 11:54:30.889469,1,points,6,B,0,terra,2,lense,10,False,3.7487597465515137,0,False
2019-06-08 11:54:37.090354,1,points,6,B,0,terra,2,lense,11,True,1.026045560836792,0,True
2019-06-08 11:54:45.363851,1,points,6,B,0,terra,2,lense,12,False,2.0427606105804443,0,False
2019-06-08 11:54:51.217892,1,points,6,B,0,terra,2,lense,13,True,1.0785746574401855,0,True
2019-06-08 11:54:59.938213,1,points,6,B,0,terra,2,lense,14,True,2.238192081451416,0,True
2019-06-08 11:55:09.281540,1,points,6,B,0,terra,2,lense,15,True,1.4287793636322021,0,True
2019-06-08 11:55:16.987201,1,points,6,B,0,terra,2,lense,16,True,1.5127592086791992,0,True
2019-06-08 11:55:27.475997,1,points,6,B,0,terra,2,lense,17,False,1.9682726860046387,0,False
2019-06-08 11:55:35.697374,1,points,6,B,0,terra,2,lense,18,False,1.3110418319702148,0,False
2019-06-08 11:55:44.643572,1,points,6,B,0,terra,2,lense,19,False,1.613447904586792,0,False
2019-06-08 11:55:55.852968,1,points,6,B,0,terra,2,lense,20,True,6.200410842895508,0,False
2019-06-08 11:56:05.604056,1,points,6,B,0,terra,2,lense,21,True,1.0485649108886719,0,True
2019-06-08 11:56:14.482280,1,points,6,B,0,terra,2,lense,22,False,1.4280571937561035,0,False
2019-06-08 11:56:19.436476,1,points,6,B,0,terra,2,lense,23,False,1.3525736331939697,0,False
2019-06-08 11:56:28.592538,1,points,6,B,0,terra,2,lense,24,False,1.0438170433044434,0,False
